Buse variable;rapaces diurnes;;;;;;;;;;;
Canard colvert;oiseaux non charognards;;;;;;;;;;;
Chouette effraie;rapaces nocturnes;;;;;;;;;;;
Chouette hulotte;rapaces nocturnes;;;;;;;;;;;
Corbeau freux;oiseaux charognards;;;;;;;;;;;
Epervier deurope;rapaces diurnes;;;;;;;;;;;
Faisan de colchide;oiseaux non charognards;;;;;;;;;;;
Geai des chenes;oiseaux non charognards;;;;;;;;;;;
Goeland argente;oiseaux charognards;;;;;;;;;;;
Grive musicienne;passereaux;;;;;;;;;;;
Hibou moyen-duc;rapaces nocturnes;;;;;;;;;;;
Merle noir;passereaux;;;;;;;;;;;
Mouette rieuse;oiseaux non charognards;;;;;;;;;;;
Perdrix grise;oiseaux non charognards;;;;;;;;;;;
Pie bavarde;oiseaux charognards;;;;;;;;;;;
Pigeon biset;oiseaux non charognards;;;;;;;;;;;
Pigeon ramier;oiseaux non charognards;;;;;;;;;;;
Belette deurope;mustelides;;;;;;;;;;;
Blaireau europeen;mammiferes charognards;;;;;;;;;;;
Cerf elaphe;ongules;;;;;;;;;;;
Chevreuil europeen;ongules;;;;;;;;;;;
Fouine;mustelides;;;;;;;;;;;
Hermine;mustelides;;;;;;;;;;;
Lievre deurope;autres mammiferes;;;;;;;;;;;
Martre des pins;mustelides;;;;;;;;;;;
Putois deurope;mustelides;;;;;;;;;;;
Renard roux;mammiferes charognards;;;;;;;;;;;
Sanglier;ongules;;;;;;;;;;;
Chouette sp;rapaces nocturnes;;;;;;;;;;;
Mustelide indetermine;mustelides;;;;;;;;;;;
Lapin;autres mammiferes;;;;;;;;;;;
Rat musque;mammiferes aquatiques;;;;;;;;;;;
Ragondin;mammiferes aquatiques;;;;;;;;;;;
Ecureuil;autres mammiferes;;;;;;;;;;;
Herisson;autres mammiferes;;;;;;;;;;;
Loutre;mammiferes aquatiques;;;;;;;;;;;
Vison damerique;mammiferes aquatiques;;;;;;;;;;;
Rat;mammiferes charognards;;;;;;;;;;;
Castor;mammiferes aquatiques;;;;;;;;;;;
Amphibien;amphibiens;;;;;;;;;;;
Reptiles;reptiles;;;;;;;;;;;
